SEQENCE ID                     TM SP PREDICTION
Q8EYG9                          0  Y n3-13c18/19o
Q8F3Q1                          0  0 o
P41394                          0  0 o
Q8EXC0                          0  0 o
Q8EXX3                          0  0 o
Q8EYH2                          0  0 o
Q8EYV8                          0  0 o
Q8EZB6                          0  Y n4-15c20/21o
Q8EZN0                          0  0 o
Q8EZN3                          2  0 i7-25o126-148i
Q8EZP1                          7  0 i7-31o37-55i67-89o95-118i130-153o159-181i188-208o
Q8F031                          0  0 o
Q8F1F5                          0  0 o
Q8F2Z5                         12  0 i12-31o37-54i66-90o96-117i144-167o179-200i207-225o245-271i297-324o344-367i379-399o411-431i
Q8F3J3                          0  Y n6-13c18/19o
Q8F445                          0  0 o
Q8F4I0                          0  0 o
Q8F4J4                          0  0 o
Q8F6R2                          0  0 o
Q8F701                          0  0 o
Q8F7H3                          0  0 o
Q8F7H9                          0  0 o
Q8F7V1                          0  0 o
Q8F832                          0  0 o
Q8F8T4                          0  0 o
Q9XD15                          0  0 o
D4YW51                          0  0 o
G1UB27                          0  0 o
O51941                          0  0 o
P0C0A0                          0  0 o
P24015                          0  0 o
P24087                          0  0 o
P59117                          0  0 o
P59118                          0  0 o
P59119                          0  0 o
P59164                          0  0 o
P59173                          0  0 o
P59219                          7  0 i33-51o66-84i213-237o252-276i589-606o626-646i666-691o
P59247                          6  0 o6-27i48-70o82-102i114-134o140-162i169-186o
P59299                          0  0 o
P59307                          0  0 o
P61437                          0  0 o
P61439                          0  0 o
P61441                          0  0 o
P61443                          0  0 o
P97041                          5  0 i7-27o422-441i485-508o536-555i576-601o
P97043                          0  0 o
Q7ZAM7                          0  0 o
Q7ZAM8                          0  0 o
Q7ZAM9                          0  0 o
Q8CM44                          0  0 o
Q8CVE9                          0  0 o
Q8CXR2                          0  0 o
Q8CXS3                          0  0 o
Q8CXS6                          0  0 o
Q8CXS7                          0  0 o
Q8CXT5                          0  Y n3-10c15/16o
Q8CXU1                          0  0 o
Q8EX97                          0  0 o
Q8EXA3                          0  0 o
Q8EXN2                          0  0 i
Q8EXP7                          0  0 o
Q8EXQ4                          0  0 o
Q8EXQ6                          0  0 o
Q8EXQ7                          0  0 o
Q8EXT5                          0  0 o
Q8EXU6                          0  0 o
Q8EXU9                          0  0 o
Q8EXV1                          0  0 o
Q8EXX1                          0  0 o
Q8EY40                          0  0 o
Q8EY44                          0  0 o
Q8EY58                          0  0 o
Q8EY78                          0  0 o
Q8EYC1                          0  0 o
Q8EYC6                          0  0 o
Q8EYF0                          0  0 o
Q8EYG1                          0  0 o
Q8EYG2                          0  0 o
Q8EYJ3                          0  0 o
Q8EYK8                          5  0 o58-79i113-136o142-165i186-204o210-227i
Q8EYM3                          0  0 o
Q8EYP2                          0  0 o
Q8EYP5                          0  0 i
Q8EYP6                          0  0 o
Q8EYP7                          0  0 o
Q8EYR3                          0  0 o
Q8EYU4                          0  0 o
Q8EYX2                          0  0 o
Q8EYY3                          0  0 o
Q8EYY4                          8  0 i15-34o40-56i63-83o89-110i131-149o169-187i207-229o569-589i
Q8EZ21                          0  0 o
Q8EZ24                          0  0 o
Q8EZ26                          0  0 o
Q8EZ61                          0  0 o
Q8EZ98                          0  0 o
Q8EZB0                          0  0 o
Q8EZC5                          0  0 o
Q8EZD3                          0  0 o
Q8EZD6                          0  0 o
Q8EZG6                          0  0 o
Q8EZH9                          0  0 o
Q8EZJ0                          0  0 o
Q8EZQ1                          0  0 o
Q8EZS4                          4  0 i7-24o36-58i70-88o100-124i
Q8EZT7                          0  0 o
Q8EZT8                          1  0 o476-494i
Q8F002                          1  0 o12-31i
Q8F005                          1  0 i33-56o
Q8F0A0                          0  0 o
Q8F0A5                          0  0 o
Q8F0E1                          0  0 o
Q8F0E4                          0  0 o
Q8F0I1                          0  0 o
Q8F0I2                          0  0 o
Q8F0N2                          0  0 o
Q8F0P3                          0  0 o
Q8F0Q1                          0  0 o
Q8F0S3                          0  0 o
Q8F0T4                          0  0 o
Q8F0X6                          0  0 o
Q8F0Y6                          0  0 o
Q8F132                          0  0 o
Q8F133                          0  0 o
Q8F134                          3  0 o12-31i43-62o74-90i
Q8F142                          0  0 o
Q8F145                          9  0 i7-24o30-48i60-78o98-118i130-155o161-181i202-221o233-253i274-294o
Q8F146                          0  Y n3-10c15/16o
Q8F153                          0  0 o
Q8F1H5                          0  0 o
Q8F1S7                          0  0 o
Q8F1W7                          4  0 i20-37o57-83i95-118o138-161i
Q8F1X6                          0  0 o
Q8F1Y8                          0  0 o
Q8F1Z0                          0  0 i
Q8F219                          0  0 o
Q8F222                          0  0 o
Q8F242                          0  0 o
Q8F261                          0  0 o
Q8F273                          0  0 o
Q8F2A8                          0  0 o
Q8F2D1                          0  0 o
Q8F2I9                          2  0 o6-28i49-72o
Q8F2J2                          0  0 o
Q8F2J5                          0  0 o
Q8F2J6                          0  0 o
Q8F2R2                          0  0 o
Q8F341                          0  Y n5-15c20/21o
Q8F342                          0  0 o
Q8F351                          0  0 o
Q8F352                          0  0 o
Q8F353                          0  0 o
Q8F359                          0  0 o
Q8F393                          0  0 o
Q8F394                          0  0 o
Q8F395                          0  0 o
Q8F397                          8  0 i12-35o47-64i91-113o125-144i156-175o195-215i227-248o254-274i
Q8F3A0                          0  0 o
Q8F3E9                          0  0 o
Q8F3H4                          0  0 o
Q8F3I3                          0  0 o
Q8F3J4                          0  0 o
Q8F3J9                          0  0 o
Q8F3K4                          0  0 o
Q8F3L5                          0  0 o
Q8F3P1                          0  0 o
Q8F3P4                          0  0 o
Q8F3Q2                          0  0 o
Q8F3Q4                          0  0 o
Q8F3T3                          0  0 o
Q8F3U3                          0  0 o
Q8F3U4                          0  0 o
Q8F3V7                          0  0 i
Q8F3W3                          0  0 o
Q8F3W6                          0  0 o
Q8F3W7                          0  0 o
Q8F3Z6                          0  0 o
Q8F411                          0  0 o
Q8F416                          0  0 o
Q8F421                          0  0 o
Q8F435                          0  0 o
Q8F438                          0  0 o
Q8F498                          0  0 o
Q8F499                          0  0 o
Q8F4A0                          0  0 o
Q8F4D6                          0  Y n8-17c26/27o
Q8F4E6                          0  0 o
Q8F4E9                          0  0 o
Q8F4F4                          0  0 o
Q8F4F6                          0  0 o
Q8F4I2                          0  0 o
Q8F4J1                          0  Y n4-15c22/23o
Q8F4J2                          8  0 o20-41i62-80o86-106i161-181o187-220i289-310o322-348i355-376o
Q8F4J3                         10  0 o18-40i73-91o97-114i134-152o172-193i205-227o247-264i271-290o296-319i346-365o
Q8F4P5                          0  0 o
Q8F4Q4                          0  0 o
Q8F4S9                          0  0 o
Q8F4T6                          0  0 o
Q8F4T8                          0  0 o
Q8F4X7                          0  0 o
Q8F500                          0  0 o
Q8F509                          0  0 o
Q8F523                          0  0 o
Q8F525                          0  0 o
Q8F528                          0  0 o
Q8F5D8                          0  0 o
Q8F5F1                          0  0 i
Q8F5G0                          0  0 o
Q8F5H7                          0  0 o
Q8F5H8                          0  0 o
Q8F5I5                          0  0 o
Q8F5K1                          0  0 o
Q8F5U0                          0  0 o
Q8F5Z9                          0  0 o
Q8F625                          0  0 o
Q8F636                          1  0 o6-30i
Q8F641                         15  0 o6-23i64-80o92-116i137-163o175-193i276-297o309-327i348-369o392-415i422-443o487-505i517-538o586-604i609-628o674-693i
Q8F648                          0  0 o
Q8F650                          0  0 o
Q8F661                          0  0 o
Q8F663                          0  0 o
Q8F6A0                          0  0 o
Q8F6C0                          0  0 o
Q8F6D0                          0  0 o
Q8F6H0                          5  0 o15-36i43-64o70-87i99-117o155-176i
Q8F6I1                          0  0 o
Q8F6I3                          0  0 o
Q8F6J3                          0  0 o
Q8F6L8                          0  0 o
Q8F6N9                          0  0 o
Q8F6P4                          0  0 o
Q8F6P5                          0  0 o
Q8F6P7                          0  0 o
Q8F6P9                          0  0 o
Q8F6R1                          0  0 o
Q8F6S7                          0  0 o
Q8F6S9                          0  0 o
Q8F6T0                          0  Y n13-24c29/30o
Q8F6Y3                          0  0 o
Q8F6Z1                          0  0 o
Q8F708                          0  0 o
Q8F710                          0  0 o
Q8F724                          8  0 i12-29o35-53i60-79o91-116i128-152o172-192i204-223o553-572i
Q8F738                          0  0 o
Q8F743                          0  0 o
Q8F746                          0  0 o
Q8F747                          0  0 o
Q8F763                          0  0 o
Q8F778                          4  0 i12-31o37-55i62-80o100-117i
Q8F7A0                          0  0 o
Q8F7A3                          1  0 i35-54o
Q8F7C5                          0  0 o
Q8F7D7                          1  0 i193-216o
Q8F7G5                          0  0 o
Q8F7H8                          0  0 o
Q8F7J8                          0  0 o
Q8F7K1                          0  0 o
Q8F7K5                          0  0 o
Q8F7L5                          0  0 o
Q8F7P9                          3  0 o12-32i62-84o96-117i
Q8F7Q0                          0  0 o
Q8F7Q4                          0  0 o
Q8F7Q5                          8  0 o6-29i76-96o127-148i168-186o198-219i256-276o288-309i329-345o
Q8F7Q7                          3  0 o12-30i35-55o67-89i
Q8F7R0                         14  0 o29-52i59-80o100-121i128-145o151-173i185-208o228-252i264-284o296-313i325-344o350-369i390-411o431-448i469-493o
