# SignalP-5.0	Organism: euk	Timestamp: 20260406151522
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
Q8EYG9	OTHER	0.244718	0.755282	
Q8F3Q1	OTHER	0.000899	0.999101	
P41394	OTHER	0.012815	0.987185	
Q8EXC0	OTHER	0.000348	0.999652	
Q8EXX3	OTHER	0.000366	0.999634	
Q8EYH2	OTHER	0.000886	0.999114	
Q8EYV8	OTHER	0.005140	0.994860	
Q8EZB6	OTHER	0.072796	0.927204	
Q8EZN0	OTHER	0.000803	0.999197	
Q8EZN3	SP(Sec/SPI)	0.638954	0.361046	CS pos: 22-23. IIA-YN. Pr: 0.2295
Q8EZP1	OTHER	0.187252	0.812748	
Q8F031	OTHER	0.000697	0.999303	
Q8F1F5	OTHER	0.000719	0.999281	
Q8F2Z5	OTHER	0.001175	0.998825	
Q8F3J3	OTHER	0.047029	0.952971	
Q8F445	OTHER	0.000481	0.999519	
Q8F4I0	OTHER	0.001004	0.998996	
Q8F4J4	OTHER	0.002268	0.997732	
Q8F6R2	OTHER	0.003666	0.996334	
Q8F701	OTHER	0.000651	0.999349	
Q8F7H3	OTHER	0.000321	0.999679	
Q8F7H9	OTHER	0.000543	0.999457	
Q8F7V1	OTHER	0.000382	0.999618	
Q8F832	OTHER	0.049341	0.950659	
Q8F8T4	OTHER	0.000424	0.999576	
Q9XD15	OTHER	0.002146	0.997854	
D4YW51	OTHER	0.000593	0.999407	
G1UB27	OTHER	0.000611	0.999389	
O51941	OTHER	0.000712	0.999288	
P0C0A0	OTHER	0.000946	0.999054	
P24015	OTHER	0.002816	0.997184	
P24087	OTHER	0.000331	0.999669	
P59117	OTHER	0.001133	0.998867	
P59118	OTHER	0.002567	0.997433	
P59119	OTHER	0.000611	0.999389	
P59164	OTHER	0.000524	0.999476	
P59173	OTHER	0.006162	0.993838	
P59219	OTHER	0.000219	0.999781	
P59247	OTHER	0.065571	0.934429	
P59299	OTHER	0.001292	0.998708	
P59307	OTHER	0.001889	0.998111	
P61437	OTHER	0.000869	0.999131	
P61439	OTHER	0.000669	0.999331	
P61441	OTHER	0.000277	0.999723	
P61443	OTHER	0.001201	0.998799	
P97041	OTHER	0.034503	0.965497	
P97043	OTHER	0.002428	0.997572	
Q7ZAM7	OTHER	0.000359	0.999641	
Q7ZAM8	OTHER	0.000459	0.999541	
Q7ZAM9	OTHER	0.009722	0.990278	
Q8CM44	OTHER	0.000445	0.999555	
Q8CVE9	OTHER	0.001488	0.998512	
Q8CXR2	OTHER	0.004128	0.995872	
Q8CXS3	OTHER	0.002380	0.997620	
Q8CXS6	OTHER	0.009441	0.990559	
Q8CXS7	OTHER	0.000785	0.999215	
Q8CXT5	OTHER	0.106963	0.893037	
Q8CXU1	OTHER	0.000891	0.999109	
Q8EX97	OTHER	0.000523	0.999477	
Q8EXA3	OTHER	0.000584	0.999416	
Q8EXN2	OTHER	0.000798	0.999202	
Q8EXP7	OTHER	0.000619	0.999381	
Q8EXQ4	OTHER	0.002764	0.997236	
Q8EXQ6	OTHER	0.004557	0.995443	
Q8EXQ7	OTHER	0.000943	0.999057	
Q8EXT5	OTHER	0.000831	0.999169	
Q8EXU6	OTHER	0.001173	0.998827	
Q8EXU9	OTHER	0.000509	0.999491	
Q8EXV1	OTHER	0.000923	0.999077	
Q8EXX1	OTHER	0.000805	0.999195	
Q8EY40	OTHER	0.002683	0.997317	
Q8EY44	OTHER	0.000465	0.999535	
Q8EY58	OTHER	0.000669	0.999331	
Q8EY78	OTHER	0.000191	0.999809	
Q8EYC1	OTHER	0.000873	0.999127	
Q8EYC6	OTHER	0.007091	0.992909	
Q8EYF0	OTHER	0.003557	0.996443	
Q8EYG1	OTHER	0.000294	0.999706	
Q8EYG2	OTHER	0.000806	0.999194	
Q8EYJ3	OTHER	0.000452	0.999548	
Q8EYK8	OTHER	0.001502	0.998498	
Q8EYM3	OTHER	0.000872	0.999128	
Q8EYP2	OTHER	0.000900	0.999100	
Q8EYP5	OTHER	0.000357	0.999643	
Q8EYP6	OTHER	0.000494	0.999506	
Q8EYP7	OTHER	0.001403	0.998597	
Q8EYR3	OTHER	0.000329	0.999671	
Q8EYU4	OTHER	0.000471	0.999529	
Q8EYX2	OTHER	0.001203	0.998797	
Q8EYY3	OTHER	0.001272	0.998728	
Q8EYY4	OTHER	0.003102	0.996898	
Q8EZ21	OTHER	0.000779	0.999221	
Q8EZ24	OTHER	0.001543	0.998457	
Q8EZ26	OTHER	0.000601	0.999399	
Q8EZ61	OTHER	0.000974	0.999026	
Q8EZ98	OTHER	0.001062	0.998938	
Q8EZB0	OTHER	0.002240	0.997760	
Q8EZC5	OTHER	0.000963	0.999037	
Q8EZD3	OTHER	0.000564	0.999436	
Q8EZD6	OTHER	0.007069	0.992931	
Q8EZG6	OTHER	0.000786	0.999214	
Q8EZH9	OTHER	0.000809	0.999191	
Q8EZJ0	OTHER	0.005758	0.994242	
Q8EZQ1	OTHER	0.005308	0.994692	
Q8EZS4	OTHER	0.009083	0.990917	
Q8EZT7	OTHER	0.005006	0.994994	
Q8EZT8	OTHER	0.000419	0.999581	
Q8F002	OTHER	0.009164	0.990836	
Q8F005	OTHER	0.000085	0.999915	
Q8F0A0	OTHER	0.000528	0.999472	
Q8F0A5	OTHER	0.001973	0.998027	
Q8F0E1	OTHER	0.000515	0.999485	
Q8F0E4	OTHER	0.001600	0.998400	
Q8F0I1	OTHER	0.000948	0.999052	
Q8F0I2	OTHER	0.008976	0.991024	
Q8F0N2	OTHER	0.000609	0.999391	
Q8F0P3	OTHER	0.002186	0.997814	
Q8F0Q1	OTHER	0.000370	0.999630	
Q8F0S3	OTHER	0.003052	0.996948	
Q8F0T4	OTHER	0.001252	0.998748	
Q8F0X6	OTHER	0.000942	0.999058	
Q8F0Y6	OTHER	0.001496	0.998504	
Q8F132	OTHER	0.002011	0.997989	
Q8F133	OTHER	0.002361	0.997639	
Q8F134	OTHER	0.000197	0.999803	
Q8F142	OTHER	0.000691	0.999309	
Q8F145	OTHER	0.003328	0.996672	
Q8F146	OTHER	0.007177	0.992823	
Q8F153	OTHER	0.000706	0.999294	
Q8F1H5	OTHER	0.001592	0.998408	
Q8F1S7	OTHER	0.001171	0.998829	
Q8F1W7	OTHER	0.043183	0.956817	
Q8F1X6	OTHER	0.001081	0.998919	
Q8F1Y8	OTHER	0.000537	0.999463	
Q8F1Z0	OTHER	0.000709	0.999291	
Q8F219	OTHER	0.001068	0.998932	
Q8F222	OTHER	0.000609	0.999391	
Q8F242	OTHER	0.000788	0.999212	
Q8F261	OTHER	0.001566	0.998434	
Q8F273	OTHER	0.000609	0.999391	
Q8F2A8	OTHER	0.000845	0.999155	
Q8F2D1	OTHER	0.000177	0.999823	
Q8F2I9	OTHER	0.072159	0.927841	
Q8F2J2	OTHER	0.000799	0.999201	
Q8F2J5	OTHER	0.000831	0.999169	
Q8F2J6	OTHER	0.000395	0.999605	
Q8F2R2	OTHER	0.000765	0.999235	
Q8F341	SP(Sec/SPI)	0.923999	0.076001	CS pos: 20-21. LRG-RI. Pr: 0.4119
Q8F342	OTHER	0.000779	0.999221	
Q8F351	OTHER	0.000970	0.999030	
Q8F352	OTHER	0.000863	0.999137	
Q8F353	OTHER	0.001527	0.998473	
Q8F359	OTHER	0.000545	0.999455	
Q8F393	OTHER	0.000549	0.999451	
Q8F394	OTHER	0.001550	0.998450	
Q8F395	OTHER	0.000350	0.999650	
Q8F397	OTHER	0.003967	0.996033	
Q8F3A0	OTHER	0.000523	0.999477	
Q8F3E9	OTHER	0.010862	0.989138	
Q8F3H4	OTHER	0.000867	0.999133	
Q8F3I3	OTHER	0.001615	0.998385	
Q8F3J4	OTHER	0.001142	0.998858	
Q8F3J9	OTHER	0.000907	0.999093	
Q8F3K4	OTHER	0.001293	0.998707	
Q8F3L5	OTHER	0.000598	0.999402	
Q8F3P1	OTHER	0.000629	0.999371	
Q8F3P4	OTHER	0.000401	0.999599	
Q8F3Q2	OTHER	0.001536	0.998464	
Q8F3Q4	OTHER	0.000522	0.999478	
Q8F3T3	OTHER	0.000300	0.999700	
Q8F3U3	OTHER	0.000978	0.999022	
Q8F3U4	OTHER	0.001279	0.998721	
Q8F3V7	OTHER	0.002200	0.997800	
Q8F3W3	OTHER	0.000516	0.999484	
Q8F3W6	OTHER	0.000772	0.999228	
Q8F3W7	OTHER	0.000465	0.999535	
Q8F3Z6	OTHER	0.001679	0.998321	
Q8F411	OTHER	0.000503	0.999497	
Q8F416	OTHER	0.000343	0.999657	
Q8F421	OTHER	0.000705	0.999295	
Q8F435	OTHER	0.000370	0.999630	
Q8F438	OTHER	0.001073	0.998927	
Q8F498	OTHER	0.001881	0.998119	
Q8F499	OTHER	0.002935	0.997065	
Q8F4A0	OTHER	0.002590	0.997410	
Q8F4D6	SP(Sec/SPI)	0.907061	0.092939	CS pos: 26-27. IEG-KK. Pr: 0.2436
Q8F4E6	OTHER	0.000467	0.999533	
Q8F4E9	OTHER	0.000995	0.999005	
Q8F4F4	OTHER	0.002082	0.997918	
Q8F4F6	OTHER	0.003593	0.996407	
Q8F4I2	OTHER	0.005922	0.994078	
Q8F4J1	OTHER	0.081925	0.918075	
Q8F4J2	OTHER	0.001176	0.998824	
Q8F4J3	OTHER	0.000419	0.999581	
Q8F4P5	OTHER	0.000402	0.999598	
Q8F4Q4	OTHER	0.000283	0.999717	
Q8F4S9	OTHER	0.001187	0.998813	
Q8F4T6	OTHER	0.000648	0.999352	
Q8F4T8	OTHER	0.000724	0.999276	
Q8F4X7	OTHER	0.000900	0.999100	
Q8F500	OTHER	0.000414	0.999586	
