ID	Evidences length	Evidences list	Complete evidences
Q8EZN3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EZP1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F2Z5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P59219	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P59247	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P97041	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EYK8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EYY4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EZC5	1	SL	SL
Q8EZS4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EZT8	1	PHOBIUS_TM	PHOBIUS_TM
Q8F002	1	PHOBIUS_TM	PHOBIUS_TM
Q8F005	1	PHOBIUS_TM	PHOBIUS_TM
Q8F134	1	PHOBIUS_TM	PHOBIUS_TM
Q8F145	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F1W7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F2I9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F397	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F3U4	1	SL	SL
Q8F4J2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F4J3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F636	1	PHOBIUS_TM	PHOBIUS_TM
Q8F641	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F6H0	1	PHOBIUS_TM	PHOBIUS_TM
Q8F724	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F778	1	PHOBIUS_TM	PHOBIUS_TM
Q8F7A3	1	PHOBIUS_TM	PHOBIUS_TM
Q8F7D7	1	PHOBIUS_TM	PHOBIUS_TM
Q8F7P9	1	PHOBIUS_TM	PHOBIUS_TM
Q8F7Q5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F7Q7	1	PHOBIUS_TM	PHOBIUS_TM
Q8F7R0	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8F7V4	1	PHOBIUS_TM	PHOBIUS_TM
Q8F8K3	1	PHOBIUS_TM	PHOBIUS_TM
Q8F937	1	SL	SL
Q8F9F2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F9F3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F9F8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
G1UB19	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
G1UB20	1	PHOBIUS_TM	PHOBIUS_TM
Q8CVD8	1	PHOBIUS_TM	PHOBIUS_TM
Q8CVF4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EXA4	1	SL	SL
Q8EXC3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EXH1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EXH2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EXJ3	1	PHOBIUS_TM	PHOBIUS_TM
Q8EXN4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EXQ8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EY43	1	PHOBIUS_TM	PHOBIUS_TM
Q8EYB5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EYC0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EYK9	1	SL	SL
Q8EYT6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EYT7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EYV9	1	PHOBIUS_TM	PHOBIUS_TM
Q8EZ20	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EZ25	1	PHOBIUS_TM	PHOBIUS_TM
Q8EZ63	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EZ91	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EZP6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8EZU7	1	PHOBIUS_TM	PHOBIUS_TM
Q8F003	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F066	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F074	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F0C1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F0C2	1	PHOBIUS_TM	PHOBIUS_TM
Q8F0H8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F0R6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F0Y4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F0Z0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F131	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F169	1	PHOBIUS_TM	PHOBIUS_TM
Q8F192	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F1A2	1	PHOBIUS_TM	PHOBIUS_TM
Q8F1C9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F1L3	1	PHOBIUS_TM	PHOBIUS_TM
Q8F1M1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F1M3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F1X4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F2H8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F2I3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F2I8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F2J0	1	PHOBIUS_TM	PHOBIUS_TM
Q8F2L6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F2Q1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F2Q3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F2R4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F2Z9	1	PHOBIUS_TM	PHOBIUS_TM
Q8F300	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F301	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F302	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F304	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F320	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F332	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F349	1	PHOBIUS_TM	PHOBIUS_TM
Q8F361	1	GPI	GPI
Q8F375	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F3H7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F3I9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F3K1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F3M8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F3R8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F426	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F430	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8F439	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
